,代號,名稱,現價,升跌,升跌率(%),成交量,成交額,市值
66,3968.HK,招商銀行,46.15,1.65,3.7,2.74千萬股,12.46億,"2,042.95億"
67,3988.HK,中國銀行,2.91,0.05,1.7,2.29億股,6.62億,"2,391.60億"
68,6098.HK,碧桂園服務,21.65,2.27,11.7,6.94千萬股,14.63億,653.71億
69,6690.HK,海爾智家,27.6,1.0,3.8,1.23千萬股,3.37億,762.63億
70,6862.HK,海底撈國際,23.0,0.2,0.9,2.06千萬股,4.67億,"1,270.87億"
71,9618.HK,京東集團－ＳＷ,241.0,16.2,7.2,1.18千萬股,27.95億,"6,022.20億"
72,9633.HK,農夫山泉,43.65,0.0,0.0,3.34百萬股,1.45億,"2,197.63億"
73,9888.HK,百度集團－ＳＷ,124.2,9.4,8.2,9.59百萬股,11.73億,"2,604.74億"
74,9988.HK,阿里巴巴－ＳＷ,96.4,7.75,8.7,1.19億股,112.16億,"18,780.60億"
75,9999.HK,網易－Ｓ,125.7,7.1,6.0,9.52百萬股,11.84億,"4,097.77億"
